stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
before,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
before,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
before,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
before,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
before,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
before,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
before,default,statistics,NN,0.9343899113837764,0.8214285714285714,0.05707196029776675,0.10672853828306265,0.7840752907630103
before,default,statistics_tfidf,Logistic Regression,0.9512610770279482,0.8421052631578947,0.3573200992555831,0.5017421602787455,0.9555390835885479
before,default,statistics_tfidf,K-Nearest Neighbors,0.9316632583503749,0.515625,0.08188585607940446,0.14132762312633831,0.7234796664540195
before,default,statistics_tfidf,Support Vector Machine,0.11758691206543967,0.06216761415734458,0.8411910669975186,0.11577868852459015,0.5061360473484547
before,default,statistics_tfidf,Naive Bayes,0.9434219495569189,0.6392156862745098,0.4044665012406948,0.4954407294832827,0.9426812628978908
before,default,statistics_tfidf,Decision Tree,0.9435923653715065,0.95,0.18858560794044665,0.3146997929606625,0.639235014609096
before,default,statistics_tfidf,Random Forest,0.9366053169734151,1.0,0.07692307692307693,0.14285714285714288,0.9093264378097481
before,default,statistics_tfidf,GBDT,0.9534764826175869,0.9333333333333333,0.34739454094292804,0.5063291139240507,0.8827081427264409
before,default,statistics_tfidf,NN,0.9691547375596455,0.7952127659574468,0.7419354838709677,0.7676508344030809,0.9678018702367196
before,default,statistics_tfidf_pos,Logistic Regression,0.940013633265167,0.7339449541284404,0.19851116625310175,0.31250000000000006,0.8606090188181502
before,default,statistics_tfidf_pos,K-Nearest Neighbors,0.9360940695296524,0.6166666666666667,0.18362282878411912,0.28298279158699813,0.8156270787029575
before,default,statistics_tfidf_pos,Support Vector Machine,0.13922972051806407,0.06754745068850018,0.9007444168734491,0.12567076337199237,0.6164545869383102
before,default,statistics_tfidf_pos,Naive Bayes,0.9267211997273347,0.47668393782383417,0.684863523573201,0.5621181262729125,0.8940392163985116
before,default,statistics_tfidf_pos,Decision Tree,0.9470006816632583,0.9107142857142857,0.2531017369727047,0.3961165048543689,0.6265265767494024
before,default,statistics_tfidf_pos,Random Forest,0.9372869802317655,1.0,0.08684863523573201,0.1598173515981735,0.9245464596496087
before,default,statistics_tfidf_pos,GBDT,0.9551806407634629,0.9545454545454546,0.36476426799007444,0.5278276481149013,0.9025304271032217
before,default,statistics_tfidf_pos,NN,0.9689843217450579,0.8442367601246106,0.6724565756823822,0.7486187845303868,0.964176271740537
before,default,statistics_tfidf_pos_liwc,Logistic Regression,0.940013633265167,0.7339449541284404,0.19851116625310175,0.31250000000000006,0.8606090188181502
before,default,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.9360940695296524,0.6166666666666667,0.18362282878411912,0.28298279158699813,0.8156270787029575
before,default,statistics_tfidf_pos_liwc,Support Vector Machine,0.13922972051806407,0.06754745068850018,0.9007444168734491,0.12567076337199237,0.6164557220662052
before,default,statistics_tfidf_pos_liwc,Naive Bayes,0.9267211997273347,0.47668393782383417,0.684863523573201,0.5621181262729125,0.8940392163985116
before,default,statistics_tfidf_pos_liwc,Decision Tree,0.9470006816632583,0.9107142857142857,0.2531017369727047,0.3961165048543689,0.6265265767494024
before,default,statistics_tfidf_pos_liwc,Random Forest,0.9372869802317655,1.0,0.08684863523573201,0.1598173515981735,0.9245464596496087
before,default,statistics_tfidf_pos_liwc,GBDT,0.9551806407634629,0.9545454545454546,0.36476426799007444,0.5278276481149013,0.9025304271032217
before,default,statistics_tfidf_pos_liwc,NN,0.9688139059304703,0.8459119496855346,0.6674937965260546,0.7461858529819695,0.960755904367745
before,under,statistics,Logistic Regression,0.7631224764468372,0.7910447761194029,0.7142857142857143,0.7507082152974505,0.836492478914877
before,under,statistics,K-Nearest Neighbors,0.7321668909825033,0.7574850299401198,0.6819407008086253,0.7177304964539007,0.7717336173666058
before,under,statistics,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.45964843636785213
before,under,statistics,Naive Bayes,0.5302826379542396,0.9230769230769231,0.0646900269541779,0.12090680100755667,0.633763730690085
before,under,statistics,Decision Tree,0.756393001345895,0.8958333333333334,0.5795148247978437,0.7037643207855975,0.7699837695272875
before,under,statistics,Random Forest,0.7779273216689099,0.8065476190476191,0.7304582210242587,0.7666195190947667,0.8468901254963337
before,under,statistics,GBDT,0.765814266487214,0.7957957957957958,0.7142857142857143,0.7528409090909091,0.8466292786134539
before,under,statistics,NN,0.7644683714670256,0.8121019108280255,0.6873315363881402,0.7445255474452555,0.8374271802451962
before,under,statistics_tfidf,Logistic Regression,0.9609690444145357,0.9723756906077348,0.9487870619946092,0.9604365620736699,0.9924499318899805
before,under,statistics_tfidf,K-Nearest Neighbors,0.7483176312247645,0.7690058479532164,0.7088948787061995,0.7377279102384293,0.8221096716227575
before,under,statistics_tfidf,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.4387589484972321
before,under,statistics_tfidf,Naive Bayes,0.800807537012113,0.9744680851063829,0.6172506738544474,0.7557755775577557,0.9741109468741849
before,under,statistics_tfidf,Decision Tree,0.6500672947510094,0.5882352941176471,0.9973045822102425,0.74,0.7331174100802829
before,under,statistics_tfidf,Random Forest,0.9071332436069987,0.9660493827160493,0.8436657681940701,0.9007194244604316,0.9813204648871112
before,under,statistics_tfidf,GBDT,0.8802153432032301,0.8938547486033519,0.862533692722372,0.8779149519890261,0.962626438280729
before,under,statistics_tfidf,NN,0.9676985195154778,0.9859943977591037,0.9487870619946092,0.967032967032967,0.9977030982813089
before,under,statistics_tfidf_pos,Logistic Regression,0.8721399730820996,0.8556701030927835,0.894878706199461,0.8748353096179182,0.9339332811639567
before,under,statistics_tfidf_pos,K-Nearest Neighbors,0.8438761776581427,0.8277634961439588,0.8679245283018868,0.8473684210526317,0.9161993160015071
before,under,statistics_tfidf_pos,Support Vector Machine,0.46567967698519513,0.48142857142857143,0.9083557951482479,0.6293183940242765,0.76386111352636
