stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,default,statistics,Logistic Regression,0.9342194955691888,0.639344262295082,0.0967741935483871,0.16810344827586204,0.7905882005725584
before,default,statistics,K-Nearest Neighbors,0.9248466257668712,0.2978723404255319,0.06947890818858561,0.11267605633802817,0.6741862835685697
before,default,statistics,Support Vector Machine,0.9289366053169734,0.18181818181818182,0.009925558312655087,0.018823529411764704,0.3601767621157876
before,default,statistics,Naive Bayes,0.9151329243353783,0.20125786163522014,0.0794044665012407,0.11387900355871886,0.6203601079733654
before,default,statistics,Decision Tree,0.932856169052488,0.5542168674698795,0.1141439205955335,0.18930041152263374,0.7004361161372051
before,default,statistics,Random Forest,0.9340490797546013,0.8333333333333334,0.04962779156327544,0.09367681498829039,0.7833197496361916
before,default,statistics,GBDT,0.935412406271302,0.74,0.09181141439205956,0.16335540838852097,0.798542041731842
before,default,statistics,NN,0.9337082481254261,0.7916666666666666,0.04714640198511166,0.08899297423887588,0.7847668106765588
before,default,statistics_tfidf,Logistic Regression,0.9512610770279482,0.8421052631578947,0.3573200992555831,0.5017421602787455,0.9555390835885479
before,default,statistics_tfidf,K-Nearest Neighbors,0.9316632583503749,0.515625,0.08188585607940446,0.14132762312633831,0.7234796664540195
before,default,statistics_tfidf,Support Vector Machine,0.11758691206543967,0.06216761415734458,0.8411910669975186,0.11577868852459015,0.5061360473484547
before,default,statistics_tfidf,Naive Bayes,0.9434219495569189,0.6392156862745098,0.4044665012406948,0.4954407294832827,0.9426812628978908
before,default,statistics_tfidf,Decision Tree,0.9435923653715065,0.95,0.18858560794044665,0.3146997929606625,0.639235014609096
before,default,statistics_tfidf,Random Forest,0.9366053169734151,1.0,0.07692307692307693,0.14285714285714288,0.9093264378097481
before,default,statistics_tfidf,GBDT,0.9534764826175869,0.9333333333333333,0.34739454094292804,0.5063291139240507,0.8827081427264409
before,default,statistics_tfidf,NN,0.9693251533742331,0.8105849582172702,0.7220843672456576,0.7637795275590551,0.9570179282099714
before,default,statistics_tfidf_pos,Logistic Regression,0.9377982276755283,0.6826923076923077,0.1761786600496278,0.28007889546351084,0.7916468208473049
before,default,statistics_tfidf_pos,K-Nearest Neighbors,0.9342194955691888,0.6164383561643836,0.11166253101736973,0.18907563025210083,0.7656085761182713
before,default,statistics_tfidf_pos,Support Vector Machine,0.11724608043626449,0.062144821264894595,0.8411910669975186,0.11573916012290884,0.5040519525334919
before,default,statistics_tfidf_pos,Naive Bayes,0.9403544648943422,0.5691906005221932,0.5409429280397022,0.5547073791348601,0.9060540911144458
before,default,statistics_tfidf_pos,Decision Tree,0.943762781186094,0.9195402298850575,0.19851116625310175,0.326530612244898,0.6189954572181646
before,default,statistics_tfidf_pos,Random Forest,0.9372869802317655,1.0,0.08684863523573201,0.1598173515981735,0.9063971267642726
before,default,statistics_tfidf_pos,GBDT,0.9536468984321745,0.9395973154362416,0.34739454094292804,0.5072463768115942,0.8852403860342944
before,default,statistics_tfidf_pos,NN,0.961826857532379,0.7374005305039788,0.6898263027295285,0.7128205128205128,0.9601181895164128
before,default,statistics_tfidf_pos_liwc,Logistic Regression,0.9413769597818678,0.7006802721088435,0.2555831265508685,0.37454545454545457,0.8685926003282789
before,default,statistics_tfidf_pos_liwc,K-Nearest Neighbors,0.939161554192229,0.6666666666666666,0.228287841191067,0.34011090573012936,0.8174777912227371
before,default,statistics_tfidf_pos_liwc,Support Vector Machine,0.9280845262440355,0.1724137931034483,0.01240694789081886,0.02314814814814815,0.39287752651091196
before,default,statistics_tfidf_pos_liwc,Naive Bayes,0.9183708248125426,0.4396825396825397,0.6873449131513648,0.5363020329138432,0.8844680450146316
before,default,statistics_tfidf_pos_liwc,Decision Tree,0.946319018404908,0.9,0.2456575682382134,0.3859649122807018,0.661008356811562
before,default,statistics_tfidf_pos_liwc,Random Forest,0.9376278118609407,1.0,0.09181141439205956,0.16818181818181818,0.9184780659236875
before,default,statistics_tfidf_pos_liwc,GBDT,0.9558623040218133,0.95,0.3771712158808933,0.5399644760213144,0.9023771848374157
before,default,statistics_tfidf_pos_liwc,NN,0.9683026584867076,0.8677966101694915,0.6352357320099256,0.7335243553008596,0.9518969122251003
before,under,statistics,Logistic Regression,0.7631224764468372,0.7910447761194029,0.7142857142857143,0.7507082152974505,0.836492478914877
before,under,statistics,K-Nearest Neighbors,0.7321668909825033,0.7574850299401198,0.6819407008086253,0.7177304964539007,0.7717336173666058
before,under,statistics,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.45964843636785213
before,under,statistics,Naive Bayes,0.5302826379542396,0.9230769230769231,0.0646900269541779,0.12090680100755667,0.633763730690085
before,under,statistics,Decision Tree,0.756393001345895,0.8958333333333334,0.5795148247978437,0.7037643207855975,0.7699837695272875
before,under,statistics,Random Forest,0.7779273216689099,0.8065476190476191,0.7304582210242587,0.7666195190947667,0.8468901254963337
before,under,statistics,GBDT,0.765814266487214,0.7957957957957958,0.7142857142857143,0.7528409090909091,0.8466292786134539
before,under,statistics,NN,0.7685060565275909,0.8042813455657493,0.7088948787061995,0.7535816618911175,0.8361374373242907
before,under,statistics_tfidf,Logistic Regression,0.9609690444145357,0.9723756906077348,0.9487870619946092,0.9604365620736699,0.9924499318899805
before,under,statistics_tfidf,K-Nearest Neighbors,0.7483176312247645,0.7690058479532164,0.7088948787061995,0.7377279102384293,0.8221096716227575
before,under,statistics_tfidf,Support Vector Machine,0.4306864064602961,0.4624277456647399,0.862533692722372,0.6020696142991533,0.4387589484972321
before,under,statistics_tfidf,Naive Bayes,0.800807537012113,0.9744680851063829,0.6172506738544474,0.7557755775577557,0.9741109468741849
before,under,statistics_tfidf,Decision Tree,0.6500672947510094,0.5882352941176471,0.9973045822102425,0.74,0.7331174100802829
before,under,statistics_tfidf,Random Forest,0.9071332436069987,0.9660493827160493,0.8436657681940701,0.9007194244604316,0.9813204648871112
before,under,statistics_tfidf,GBDT,0.8802153432032301,0.8938547486033519,0.862533692722372,0.8779149519890261,0.962626438280729
before,under,statistics_tfidf,NN,0.9771197846567967,0.9862637362637363,0.967654986522911,0.9768707482993197,0.9980726313653886
before,under,statistics_tfidf_pos,Logistic Regression,0.873485868102288,0.8879551820728291,0.8544474393530997,0.8708791208791209,0.9379474248616063
before,under,statistics_tfidf_pos,K-Nearest Neighbors,0.8411843876177658,0.8235294117647058,0.8679245283018868,0.8451443569553806,0.9109823783439122
before,under,statistics_tfidf_pos,Support Vector Machine,0.4266487213997308,0.46008708272859217,0.8544474393530997,0.5981132075471698,0.5756383502883806
