stemming,sampling,features,algorithms,accuracy,precision,recall,f1,auc_roc
before,default,tfidf,Logistic Regression,0.9601226993865031,0.9567567567567568,0.4392059553349876,0.6020408163265305,0.9758939699735969
before,default,tfidf,K-Nearest Neighbors,0.9335378323108384,0.8421052631578947,0.03970223325062035,0.07582938388625592,0.5846680545497062
before,default,tfidf,Support Vector Machine,0.8203817314246762,0.24228028503562946,0.7593052109181141,0.36734693877551017,0.8621757223386359
before,default,tfidf,Naive Bayes,0.96813224267212,0.8941605839416058,0.607940446650124,0.723781388478582,0.9738716261161144
before,default,tfidf,Decision Tree,0.9459781867757328,0.9056603773584906,0.23821339950372208,0.37721021611001965,0.6527157934884524
before,default,tfidf,Random Forest,0.9369461486025903,1.0,0.08188585607940446,0.1513761467889908,0.9250200350073442
before,default,tfidf_pos,Logistic Regression,0.9597818677573279,0.9417989417989417,0.44168734491315137,0.6013513513513513,0.9758535594205399
before,default,tfidf_pos,K-Nearest Neighbors,0.935412406271302,0.8157894736842105,0.07692307692307693,0.1405895691609977,0.6104876736461897
before,default,tfidf_pos,Support Vector Machine,0.8411724608043627,0.25117591721542804,0.6625310173697271,0.364256480218281,0.8264702744058172
before,default,tfidf_pos,Naive Bayes,0.9625085207907293,0.8060200668896321,0.598014888337469,0.6866096866096866,0.9686677457949187
before,default,tfidf_pos,Decision Tree,0.9446148602590321,0.9534883720930233,0.20347394540942929,0.3353783231083845,0.6013008565675094
before,default,tfidf_pos,Random Forest,0.9360940695296524,1.0,0.06947890818858561,0.12993039443155452,0.9185638815925391
before,default,tfidf_pos_liwc,Logistic Regression,0.940865712338105,0.6647058823529411,0.2803970223325062,0.39441535776614306,0.9336043261994329
before,default,tfidf_pos_liwc,K-Nearest Neighbors,0.9350715746421268,0.7037037037037037,0.09429280397022333,0.1663019693654267,0.7010375068959019
before,default,tfidf_pos_liwc,Support Vector Machine,0.10650988411724609,0.06412103746397695,0.8833746898263027,0.11956339210747272,0.5891776906504055
before,default,tfidf_pos_liwc,Naive Bayes,0.9543285616905249,0.7303754266211604,0.5310173697270472,0.6149425287356322,0.9599102340860746
before,default,tfidf_pos_liwc,Decision Tree,0.9435923653715065,0.95,0.18858560794044665,0.3146997929606625,0.6385459919769161
before,default,tfidf_pos_liwc,Random Forest,0.9369461486025903,1.0,0.08188585607940446,0.1513761467889908,0.9166373425293828
before,under,tfidf,Logistic Regression,0.9865410497981157,0.9787798408488063,0.9946091644204852,0.9866310160427807,0.9978769962032287
before,under,tfidf,K-Nearest Neighbors,0.5423956931359354,1.0,0.08355795148247978,0.15422885572139303,0.9681404515549373
before,under,tfidf,Support Vector Machine,0.892328398384926,0.8269662921348314,0.9919137466307277,0.9019607843137255,0.984754948845028
before,under,tfidf,Naive Bayes,0.9798115746971736,0.9863387978142076,0.9730458221024259,0.9796472184531886,0.9989131379880011
before,under,tfidf,Decision Tree,0.7039030955585465,0.629059829059829,0.9919137466307277,0.7698744769874477,0.7021454656116859
before,under,tfidf,Random Forest,0.9098250336473755,0.9720496894409938,0.8436657681940701,0.9033189033189033,0.9841245688780685
before,under,tfidf_pos,Logistic Regression,0.9865410497981157,0.9787798408488063,0.9946091644204852,0.9866310160427807,0.9979422079239486
before,under,tfidf_pos,K-Nearest Neighbors,0.5921938088829072,1.0,0.18328840970350405,0.30979498861047833,0.9698214648001623
before,under,tfidf_pos,Support Vector Machine,0.9246298788694481,0.8776978417266187,0.9865229110512129,0.9289340101522843,0.9807118221603919
before,under,tfidf_pos,Naive Bayes,0.9771197846567967,0.9862637362637363,0.967654986522911,0.9768707482993197,0.9988841550010144
before,under,tfidf_pos,Decision Tree,0.6810228802153432,0.6109271523178808,0.9946091644204852,0.7569230769230769,0.7343020896733617
before,under,tfidf_pos,Random Forest,0.917900403768506,0.9874213836477987,0.8463611859838275,0.9114658925979681,0.9852331681303076
before,under,tfidf_pos_liwc,Logistic Regression,0.9744279946164199,0.9888888888888889,0.9595687331536388,0.9740082079343365,0.9961814914645103
before,under,tfidf_pos_liwc,K-Nearest Neighbors,0.7523553162853297,0.8006430868167203,0.6711590296495957,0.7302052785923755,0.8147552386748979
